,MIN,MAX,MEAN,RMS,VAR,STD,POWER,PEAK,P2P,CREST FACTOR,SKEW,KURTOSIS,MAX_f,SUM_f,MEAN_f,VAR_f,PEAK_f,SKEW_f,KURTOSIS_f
0,-1.5947265625,584.874,146.42675226702218,238.77459695153667,35572.5143699009,188.60677180287271,57013.308149368786,584.874,586.4687265625,2.4494816763054157,[1.35305100e-16 4.72510161e-01],[-1.2       1.345948],2.929845100397223,228053.23259747514,0.9733219774202538,0.757903253121336,2.929845100397223,[1.35305100e-16 4.72510161e-01],[-1.2       1.345948]
0,-2.0,519.009,129.7927140767962,211.88530703621876,28049.234710411743,167.47905752783464,44895.383337832696,519.009,521.009,2.449480840647827,[-8.73009024e-17 -7.95913699e-01],[-1.2         0.52581926],2.5925230171670934,179581.53335133079,0.8639043899675318,0.5970779727741115,2.5925230171670934,[-8.73009024e-17 -7.95913699e-01],[-1.2         0.52581926]
0,-2.0,594.119,148.28886953772658,242.5490983616187,36840.47628725728,191.9387305555012,58830.06511603418,594.119,596.119,2.449479317850205,[-4.07236997e-16 -3.35074607e-02],[-1.2         4.00263747],2.9800156261377224,235320.26046413672,0.9901384326786418,0.7843094546208078,2.9800156261377224,[-4.07236997e-16 -3.35074607e-02],[-1.2         4.00263747]
0,-0.3305664,519.631,130.39009320906635,212.14021207959598,28001.89317410697,167.33766215083492,45003.46958117597,519.631,519.9615663999999,2.449469597989428,[-1.73948781e-16  6.78292196e-01],[-1.2        -0.21878965],2.6075344166603687,180013.87832470392,0.865850961620286,0.5997894192922562,2.6075344166603687,[-1.73948781e-16  6.78292196e-01],[-1.2        -0.21878965]
0,-2.0,625.444,155.8772465094605,255.33793198281202,40899.74352988803,202.23685007902992,65197.45950925914,625.444,627.444,2.449475466269937,[ 5.38995380e-16 -8.59404543e-01],[-1.2         0.34978657],3.139424805745244,260789.83803703656,1.0426922260308844,0.8697935493588401,3.139424805745244,[ 5.38995380e-16 -8.59404543e-01],[-1.2         0.34978657]
0,-2.0,499.808,125.19331954915246,204.04763557092886,25962.07032235039,161.12749710198565,41635.43758208659,499.808,501.808,2.4494672462218365,[-1.06783882e-15 -1.14203447e+00],[-1.2         1.57509078],2.5064472937922244,166541.75032834636,0.8335089202051287,0.5558209636299402,2.5064472937922244,[-1.06783882e-15 -1.14203447e+00],[-1.2         1.57509078]
0,-2.0,473.971,118.05785834080348,193.49958789146314,23504.43259814884,153.3115540269188,37442.09051416606,473.971,475.971,2.4494677490778822,[ 5.65818315e-16 -3.57983795e-01],[-1.2        -0.43967276],2.37921487968388,149768.36205666422,0.7903176822476793,0.4997055439667372,2.37921487968388,[ 5.65818315e-16 -3.57983795e-01],[-1.2        -0.43967276]
0,-1.1630859,618.441,154.62606353146774,252.4780427856055,39835.94256561254,199.58943500499353,63745.16208885005,618.441,619.6040859000001,2.4494842924822415,[ 1.95258799e-16 -3.56624336e-01],[-1.2         0.71612421],3.0954133453842183,254980.64835540002,1.0314751147063108,0.8511615896042833,3.0954133453842183,[ 1.95258799e-16 -3.56624336e-01],[-1.2         0.71612421]
0,-2.0,599.792,149.89644598754876,244.86512453844625,37489.98469553067,193.62330617859686,59958.92921522879,599.792,601.792,2.449479080087727,[ 4.90184420e-17 -7.99137662e-01],[-1.2        1.8714386],3.014138935905083,239835.7168609152,0.9998487395815903,0.7997769694205499,3.014138935905083,[ 4.90184420e-17 -7.99137662e-01],[-1.2        1.8714386]
0,-1.0876465,615.097,153.9533182831566,251.11299624414468,39356.112672316944,198.3837510289513,63057.736882711826,615.097,616.1846465,2.449482938756271,[-3.59378466e-16  2.74933903e-01],[-1.2         1.33551434],3.127864062801062,252230.9475308474,1.0393218763632623,0.8641639473023173,3.127864062801062,[-3.59378466e-16  2.74933903e-01],[-1.2         1.33551434]
0,-2.0,648.104,161.89495985297987,264.5883492464885,43797.016531183785,209.27736746046807,70006.9945569818,648.104,650.104,2.4494804924166607,[ 7.90741693e-16 -7.08305545e-01],[-1.2         1.31451586],3.251968389628912,280027.9782279271,1.0799548709888587,0.9330609622350013,3.251968389628912,[ 7.90741693e-16 -7.08305545e-01],[-1.2         1.31451586]
0,-2.0,578.031,144.58811642919287,235.98109780493834,34781.35510868206,186.49760081213392,55687.07852122388,578.031,580.031,2.4494800870779896,[-7.96137855e-16  5.21370814e-01],[-1.2         2.63152888],2.906936470960005,222748.31408489554,0.9642450221849267,0.7438285743303839,2.906936470960005,[-7.96137855e-16  5.21370814e-01],[-1.2         2.63152888]
0,-2.0,461.766,115.46789236833517,188.516715803596,22205.71796938835,149.01583127100406,35538.55213737377,461.766,463.766,2.4494697885628653,[-4.53397399e-16  7.45898945e-01],[-1.2         0.79999745],2.314162149227975,142154.20854949515,0.7696325393575404,0.47388663078621573,2.314162149227975,[-4.53397399e-16  7.45898945e-01],[-1.2         0.79999745]
0,-2.0,555.176,138.20247895225876,226.65200722851154,32271.207192163725,179.64188596249963,51371.13238071324,555.176,557.176,2.4494642989870776,[-2.00463623e-16  4.59407463e-02],[-1.2         0.18019777],2.7878706920870746,205484.5295228529,0.9260731969410374,0.6861303288625836,2.7878706920870746,[-2.00463623e-16  4.59407463e-02],[-1.2         0.18019777]
0,-2.0,549.896,137.43590753155553,224.49489057217428,31509.32721399023,177.50866799677763,50397.955893012506,549.896,551.896,2.4494811378489274,[ 6.76208053e-16 -9.92855764e-01],[-1.2         5.96254663],2.7503711453217776,201591.82357205005,0.9163264707820457,0.6717290497692407,2.7503711453217776,[ 6.76208053e-16 -9.92855764e-01],[-1.2         5.96254663]
0,-2.0,446.256,111.54881343874212,182.18423405313752,20747.957357937103,144.0415126202759,33191.09513752839,446.256,448.256,2.4494765000896885,[ 1.59796600e-16 -7.65236606e-01],[-1.2         3.99381464],2.2305608226289872,132764.38055011356,0.7431285853825987,0.44179638601349785,2.2305608226289872,[ 1.59796600e-16 -7.65236606e-01],[-1.2         3.99381464]
0,-1.410400390625,694.596,173.5326298142639,283.5682132436546,50297.357951944425,224.2707246876962,80410.93156219878,694.596,696.006400390625,2.449484700893368,[ 3.81420439e-16 -7.51154045e-01],[-1.2         1.70557729],3.474582437856831,321643.72624879517,1.1574581351076518,1.0717776327218527,3.474582437856831,[ 3.81420439e-16 -7.51154045e-01],[-1.2         1.70557729]
0,-2.0,416.877,104.40318364011918,170.19034715194942,18064.72950950862,134.4050948048794,28964.754263701063,416.877,418.877,2.4494749965331684,[ 4.98584089e-16 -1.96728436e-01],[-1.2         1.54735608],2.0910839104834062,115859.01705480425,0.6945318018343819,0.38591326323420594,2.0910839104834062,[ 4.98584089e-16 -1.96728436e-01],[-1.2         1.54735608]
0,-2.0,354.333,88.18055485480927,144.65758481338423,13150.006589539438,114.67347814355087,20925.816844041456,354.333,356.333,2.4494602233067,[-2.01147688e-16 -1.49352569e+00],[-1.2         6.65031392],1.7793894456906278,83703.26737616584,0.5904575858928177,0.27892901348472265,1.7793894456906278,[-2.01147688e-16 -1.49352569e+00],[-1.2         6.65031392]
0,-2.0,400.589,99.70054734149434,163.54161635969376,16805.661141347704,129.6366504556011,26745.860281541252,400.589,402.589,2.4494621547517528,[ 8.61970409e-16 -2.80862302e-01],[-1.2         3.23665099],2.01122830115377,106983.44112616502,0.6675783816279267,0.3565532740392705,2.01122830115377,[ 8.61970409e-16 -2.80862302e-01],[-1.2         3.23665099]
0,-2.0,747.541,187.01788408718846,305.18294017601005,58160.93800602507,241.16578946033178,93136.62697447411,747.541,749.541,2.4494848878802533,[9.74773351e-16 1.81881942e+00],[-1.2         8.82187614],3.7439614434228146,372546.5078978965,1.2456749809340109,1.2413770549274405,3.7439614434228146,[9.74773351e-16 1.81881942e+00],[-1.2         8.82187614]
0,-2.0,788.925,197.23012008581824,322.07802587241576,64834.53448080621,254.62626431852274,103734.25474987253,788.925,790.925,2.4494840896488714,[-1.55667367e-16 -1.77358125e-01],[-1.2         0.38273881],3.954627695080987,414937.0189994901,1.3158901810162436,1.3852741515257008,3.954627695080987,[-1.55667367e-16 -1.77358125e-01],[-1.2         0.38273881]
0,-1.523681640625,733.664,183.38405957641066,299.5176009710848,56081.07998474946,236.81444209496485,89710.79329147398,733.664,735.187681640625,2.449485431311355,[ 8.75965150e-17 -2.40275244e+00],[-1.2        16.00328894],3.6700612065258063,358843.173165896,1.2231510865438753,1.1968883666612682,3.6700612065258063,[ 8.75965150e-17 -2.40275244e+00],[-1.2        16.00328894]
