,MIN,MAX,MEAN,RMS,VAR,STD,POWER,PEAK,P2P,CREST FACTOR,SKEW,KURTOSIS,MAX_f,SUM_f,MEAN_f,VAR_f,PEAK_f,SKEW_f,KURTOSIS_f
0,-2.0,584.740096591362,146.2576854675631,238.69703365695844,35584.963318302536,188.63977130579474,56976.27387663115,584.740096591362,586.740096591362,2.4497166455437256,[5.01382479e-07 1.20460643e-01],[-1.2000007   1.23976588],11.695712786829475,227905.09550652464,3.8907589372187354,12.116448286405761,11.695712786829475,[5.01382479e-07 1.20460643e-01],[-1.2000007   1.23976588]
0,-1.83447265625,518.8750949379788,129.40795128149114,211.8082346500504,28116.310410698014,167.67918896123638,44862.728265570804,518.8750949379788,520.7095675942288,2.4497399536673554,[6.36645643e-07 1.74776117e+00],[-1.20000088  3.0756175 ],10.396316084314638,179450.9130622832,3.4531040844805108,9.544609730149116,10.396316084314638,[6.36645643e-07 1.74776117e+00],[-1.20000088  3.0756175 ]
0,-1.2294922,593.985086781775,148.91190016634803,242.4722755494052,36618.050398954285,191.3584343554114,58792.80441010668,593.985086781775,595.2145789817749,2.4497031070290216,[ 4.85917848e-07 -8.17503255e-01],[-1.20000068  0.90111478],11.879455719464055,235171.21764042668,3.9580452679484766,12.539332032730721,11.879455719464055,[ 4.85917848e-07 -8.17503255e-01],[-1.20000068  0.90111478]
0,-1.5808105,519.4970878391816,129.81128001520958,212.0616321258194,28119.167400679213,167.68770795940654,44970.13581986636,519.4970878391816,521.0778983391816,2.4497457773547464,[6.35133819e-07 2.01381900e-01],[-1.20000088  3.82987229],10.385720831757546,179880.54327946546,3.460838527002183,9.58728670475324,10.385720831757546,[6.35133819e-07 2.01381900e-01],[-1.20000088  3.82987229]
0,-0.55371094,625.3100845853974,156.37863116144172,255.2595959995602,40703.18506593248,201.75030375672915,65157.46134985869,625.3100845853974,625.8637955253973,2.449702555301681,[4.38483990e-07 1.75847841e-01],[-1.20000061  0.76035812],12.516251269526045,260629.84539943485,4.168210168235588,13.90564798782406,12.516251269526045,[4.38483990e-07 1.75847841e-01],[-1.20000061  0.76035812]
0,-2.0,499.6740821799264,124.68899783261539,203.96997584122573,26056.40486416824,161.4199642676464,41603.75104467021,499.6740821799264,501.6740821799264,2.449743302263675,[ 6.86495729e-07 -9.66611780e-02],[-1.20000095 -0.35081889],10.028024425841824,166415.0041786808,3.3314983219627003,8.884912390267838,10.028024425841824,[ 6.86495729e-07 -9.66611780e-02],[-1.20000095 -0.35081889]
0,-1.411865234375,473.83708299846285,118.69121905691743,193.42149833883008,23324.27053842088,152.7228553243452,37411.876019638046,473.83708299846285,475.24894823283785,2.449764307835156,[7.63336060e-07 2.23464531e-01],[-1.20000106  0.10361616],9.500839704143646,149647.50407855216,3.1587196909522155,7.987037663552803,9.500839704143646,[7.63336060e-07 2.23464531e-01],[-1.20000106  0.10361616]
0,-2.0,618.3070815057866,154.0708797313741,252.40161862736505,39968.74110451428,199.92183748783992,63706.577085713834,618.3070815057866,620.3070815057866,2.449695389705994,[ 4.48469778e-07 -3.32455033e-01],[-1.20000062 -0.68730756],12.410841295286763,254826.3083428553,4.123403047619018,13.6086810300299,12.410841295286763,[ 4.48469778e-07 -3.32455033e-01],[-1.20000062 -0.68730756]
0,-2.0,599.658085053036,149.3027458891083,244.7888322593233,37630.26246885547,193.98521198497443,59921.572398883116,599.658085053036,601.658085053036,2.4496954355244966,[4.76775222e-07 3.90164256e-01],[-1.20000066  0.55199208],12.052792353764632,239686.2895955325,3.9969031749521826,12.786886873266086,12.052792353764632,[4.76775222e-07 3.90164256e-01],[-1.20000066  0.55199208]
0,-2.0,614.9629932518641,153.22210306744407,251.03652631271868,39542.32467474583,198.85251991047494,63019.3375431563,614.9629932518641,616.9629932518641,2.449695278550017,[4.53445929e-07 3.52257684e-01],[-1.20000063  2.07668531],12.47240813825059,252077.35017262516,4.1547559034253885,13.816502209475525,12.47240813825059,[4.53445929e-07 3.52257684e-01],[-1.20000063  2.07668531]
