,MIN,MAX,MEAN,RMS,VAR,STD,POWER,PEAK,P2P,CREST FACTOR,SKEW,KURTOSIS,MAX_f,SUM_f,MEAN_f,VAR_f,PEAK_f,SKEW_f,KURTOSIS_f
0,-2.0,584.874,146.3208980877628,238.77444218328736,35603.429022730576,188.68870931439056,57013.23423994004,584.874,586.874,2.4494832640046154,[1.35305100e-16 1.01599743e-01],[-1.2         1.36689274],2.9291606019530927,228052.93695976018,0.9733207156504378,0.7578921736875998,2.9291606019530927,[1.35305100e-16 1.01599743e-01],[-1.2         1.36689274]
0,-2.0,519.009,129.47116493045638,211.88564241751791,28132.742914234834,167.72818163396047,44895.52546268427,519.009,521.009,2.4494769635089266,[-8.73009024e-17  1.74478324e+00],[-1.2         3.06903243],2.600691970040326,179582.10185073706,0.863907124820741,0.5970833365510383,2.600691970040326,[-8.73009024e-17  1.74478324e+00],[-1.2         3.06903243]
0,-1.2294922,594.119,148.97509065906627,242.54968324521684,36636.77120547803,191.40734365608344,58830.34884235503,594.119,595.3484922,2.4494734111829284,[-4.07236997e-16 -8.17248287e-01],[-1.2         0.89989748],2.97118346937371,235321.39536942012,0.9901432079297668,0.7843339377769245,2.97118346937371,[-4.07236997e-16 -8.17248287e-01],[-1.2         0.89989748]
0,-1.5952148,519.631,129.87443078654934,212.1390398265437,28135.6044463977,167.7367116835122,45002.972218527895,519.631,521.2262148,2.4494831334434166,[-1.73948781e-16  2.01376416e-01],[-1.2         3.87334059],2.597717632251637,180011.8888741116,0.8658413925374769,0.5997524338429301,2.597717632251637,[-1.73948781e-16  2.01376416e-01],[-1.2         3.87334059]
0,-2.0,625.444,156.4418275158283,255.33700406113297,40722.940246422855,201.79925729898724,65196.98564291504,625.444,627.444,2.4494843679228557,[5.38995380e-16 1.20138363e-01],[-1.2         1.12125473],3.1302831222215866,260787.94257166015,1.0426846475645317,0.869762095111232,3.1302831222215866,[5.38995380e-16 1.20138363e-01],[-1.2         1.12125473]
0,-2.0,499.808,124.75125746050195,204.04737975914966,26072.456948598196,161.46967810891988,41635.33318657464,499.808,501.808,2.449470317089863,[-1.06783882e-15 -1.00136951e-01],[-1.2        -0.35463112],2.5083235170377063,166541.33274629852,0.8335068302885696,0.5558339264751707,2.5083235170377063,[-1.06783882e-15 -1.00136951e-01],[-1.2        -0.35463112]
0,-1.740478515625,473.971,118.75468399084696,193.4989058233604,23339.151585071744,152.77156667741463,37441.82655483769,473.971,475.711478515625,2.449476383254976,[5.65818315e-16 2.26673270e-01],[-1.2         0.14082725],2.376553541379526,149767.3062193507,0.7903121106644223,0.4996895391059998,2.376553541379526,[5.65818315e-16 2.26673270e-01],[-1.2         0.14082725]
0,-2.0,618.441,154.133845148478,252.47902728034308,39988.41699617322,199.97104039378607,63745.65921642823,618.441,620.441,2.4494747411764495,[ 1.95258799e-16 -3.33548733e-01],[-1.2        -0.68717104],3.104045064288186,254982.63686571288,1.0314831588418805,0.8511949190020109,3.104045064288186,[ 1.95258799e-16 -3.33548733e-01],[-1.2        -0.68717104]
0,-2.0,599.792,149.36586255602396,244.8662389526593,37649.314081715806,194.03431160935378,59959.47497882084,599.792,601.792,2.4494679322287447,[4.90184420e-17 3.89801927e-01],[-1.2         0.57748813],3.0144905439680683,239837.89991528337,0.9998578404952781,0.7998124560072365,3.0144905439680683,[4.90184420e-17 3.89801927e-01],[-1.2         0.57748813]
0,-2.0,615.097,153.28528876107885,251.11392748396779,39561.82482585614,198.9015455592443,63058.20457642343,615.097,617.097,2.4494738550065907,[-3.59378466e-16  3.55830191e-01],[-1.2         2.08017457],3.1194297754661195,252232.81830569377,1.039329584922591,0.8641972087658506,3.1194297754661195,[-3.59378466e-16  3.55830191e-01],[-1.2         2.08017457]
0,-2.0,648.104,161.4180750453931,264.5894201589835,43951.76630870694,209.64676555746559,70007.56126006712,648.104,650.104,2.4494705782664123,[ 7.90741693e-16 -4.55603852e-01],[-1.2        -0.21462446],3.2557571370000304,280030.24504026846,1.0799636131689978,0.9330986484933832,3.2557571370000304,[ 7.90741693e-16 -4.55603852e-01],[-1.2        -0.21462446]
0,-2.0,578.031,145.10066407301179,235.98240336174246,34633.491981955136,186.10075760714983,55687.69469638411,578.031,580.031,2.4494665354938516,[-7.96137855e-16 -5.25445666e-02],[-1.2         0.51761565],2.906886259223133,222750.77878553647,0.9642556915151703,0.7438716208738148,2.906886259223133,[-7.96137855e-16 -5.25445666e-02],[-1.2         0.51761565]
0,-2.0,461.766,116.0785496872144,188.51828034420717,22064.91232645,148.54262797745972,35539.142023937085,461.766,463.766,2.4494494600570405,[-4.53397399e-16 -7.63623149e-01],[-1.2         1.64803826],2.3189101062308755,142156.56809574843,0.7696453141012021,0.4739256450899629,2.3189101062308755,[-4.53397399e-16 -7.63623149e-01],[-1.2         1.64803826]
0,-2.0,555.176,138.76379033022064,226.65096566712825,32115.270731032313,179.20734005902858,51370.660237841745,555.176,557.176,2.449475555358371,[-2.00463623e-16 -6.42738056e-01],[-1.2         0.93148225],2.779581678651931,205482.64095136698,0.9260646855682461,0.6860985845203091,2.779581678651931,[-2.00463623e-16 -6.42738056e-01],[-1.2         0.93148225]
0,-2.0,549.896,136.9534726185413,224.49607735198848,31642.235084152453,177.88264413413822,50398.48874642999,549.896,551.896,2.4494681888709144,[6.76208053e-16 1.95439258e-01],[-1.2         0.35131722],2.7587569992893175,201593.95498571993,0.9163361590259996,0.6717698926961624,2.7587569992893175,[6.76208053e-16 1.95439258e-01],[-1.2         0.35131722]
0,-2.0,446.256,111.03718876752625,182.18576235036997,20862.394713790232,144.43820378899147,33191.65200318549,446.256,448.256,2.4494559522263004,[1.59796600e-16 3.72559616e-01],[-1.2        -0.02105821],2.239040418509463,132766.60801274196,0.743141053268527,0.44184139416526924,2.239040418509463,[1.59796600e-16 3.72559616e-01],[-1.2        -0.02105821]
